City_Name,Year_T,Unempl_Rate,Prop_in_Sec_Ind,Pop_Density,GRP,GRP_Growth,Prop_of_Sci_Exp,Prop_of_Edu_Exp,Num_of_School,Avg_Income,Net_Flow_T+1
Huainan,1998,0.041,0.689,945,1240000,0.059,0.003,0.143,3,6014,0.0043
Bengbu,1998,0.033,0.399,560,1760829,0.082,0.011,0.175,3,6056,0.0021
Wuhu,1998,0.087,0.481,648,1867609,0.124,0.008,0.086,5,7492,0.0022
Hefei,1998,0.022,0.434,586,2704736,0.118,0.001,0.1,9,7314,0.0031
Fuyang,1998,0.053,0.266,775,3816091,0.176,0.005,0.134,1,5333,0.0015
Jiamusi,1998,0.026,0.332,72,1303800,0.1,0.004,0.145,1,4989,0.0018
Anshan,1998,0.034,0.682,367,4826739,0.101,0.007,0.092,3,6644,-0.0004
Daqing,1998,0.033,0.55,116,6115900,0.075,0.018,0.048,1,11177,-0.0009
Wuhai,1998,0.048,0.676,232,306057,0.137,0.005,0.097,0,5495,0.013
Baotou,1998,0.02,0.371,73,2072078,0.118,0.006,0.098,3,6178,-0.0001
Hohhot,1998,0.027,0.363,119,1430164,0.131,0.003,0.143,8,6771,0.0096
Shuozhou,1998,0.003,0.201,126,829593,0.092,0.002,0.171,0,5540,0.0022
Jincheng,1998,0.007,0.351,220,1400327,0.176,0.007,0.148,0,5770,-0.0008
Changzhi,1998,0.003,0.3,221,1516430,0.086,0.015,0.118,2,5778,0.0009
Yangquan,1998,0.009,0.509,269,939397,0.085,0.02,0.162,1,4617,-0.0004
Datong,1998,0.006,0.304,193,1709372,0.105,0.006,0.178,3,5753,0.0048
Taiyuan,1998,0.016,0.404,423,3230836,0.091,0.004,0.124,11,6837,0.0033
Hengshui,1998,0.001,0.329,468,2662401,0.142,0.005,0.126,0,5174,0.0014
Chifeng,1998,0.007,0.145,49,1476518,0.04,0.007,0.159,1,5143,0.0045
Langfang,1998,0.015,0.307,578,3102302,0.143,0.008,0.193,5,6459,0.0031
Chengde,1998,0.016,0.424,89,1602771,0.131,0.006,0.137,5,5662,0.0021
Zhangjiakou,1998,0.028,0.521,120,2283239,0.051,0.005,0.116,5,5343,-0.0002
Baoding,1998,0.024,0.449,472,5939500,0.147,0.002,0.11,5,6155,0.0029
Xingtai,1998,0.02,0.452,518,3201335,0.114,0.004,0.102,2,5585,0.0028
Handan,1998,0.029,0.587,676,4792422,0.134,0.007,0.137,6,5920,0.0027
Qinhuangdao,1998,0.018,0.425,337,2494997,0.133,0.002,0.104,8,7482,0.0026
Tangshan,1998,0.029,0.572,512,7811579,0.137,0.004,0.111,4,6629,0.0025
Shijiazhuang,1998,0.007,0.465,547,8458583,0.137,0.006,0.134,10,6970,0.0032
Jiujiang,1998,0.044,0.438,235,1704500,0.106,0.007,0.088,6,5222,0.004
Cangzhou,1998,0.015,0.375,465,4029868,0.136,0.009,0.107,2,5344,0.0034
Yichun,1998,0.056,0.806,40,654330,0.1,0.008,0.138,1,3712,-0.0063
Shenyang,1998,0.025,0.38,520,9388146,0.109,0.008,0.118,20,7811,0.0034
Fushun,1998,0.045,0.663,210,1937182,0.095,0.005,0.107,3,6586,-0.0006
Shuangyashan,1998,0.077,0.367,66,824068,0.097,0.003,0.19,0,4320,-0.0009
Hegang,1998,0.074,0.51,76,626128,0.101,0.002,0.2,0,5244,-0.0049
Jixi,1998,0.063,0.534,86,1077819,0.091,0.004,0.143,4,5269,0.0031
Qiqihar,1998,0.041,0.42,130,2626261,0.028,0.005,0.201,3,5657,0.0025
Harbin,1998,0.029,0.548,174,8161672,0.107,0.009,0.11,24,6603,0.003
Baicheng,1998,0.057,0.325,77,587551,0.032,0.018,0.166,1,4796,-0.0007
Songyuan,1998,0.102,0.407,122,1359904,0.168,0.002,0.141,0,6271,0.0012
Baishan,1998,0.037,0.641,74,738504,0.108,0.005,0.171,0,5114,0.0015
Tonghua,1998,0.074,0.518,149,1232150,0.094,0.015,0.169,1,5713,-0.0021
